#front|back
的|[de] {grammatical particle marking genitive as well as simple and composed adjectives}>; 我的 wǒde my; 高的 gāode high, tall; 是的 shìde that's it, that's right; 是...的 shì...de one who...; 他是說漢語的. Tā shì shuō Hànyǔde. He is one who speaks Chinese.<br /><br /><br /><br />[dì] 目的 mùdì goal<br /><br /><br /><br />[dí] true, real; 的確 díquè certainly
一(A壹)|[yī] one, a little; 第一 dì-yī first, primary; 看一看 kànyīkàn have a (quick) look at<br /><br /><br /><br />[yí] (used before tone #4); 一個人 yí gè rén one person; 一定 yídìng certain; 一樣 yíyàng same; 一月yíyuè January<br /><br /><br /><br />[yì] (used before tones #2 and #3); 一點兒 yìdiǎnr a little; 一些 yìxiē some<br /><br /><br /><br />{Compare with 麽 yāo, which also means "one"}
是|[shì] to be, 是不是? shìbushì? is (it) or is (it) not?; 是否 shìfǒu whether or not, is (it) or is (it) not?
不|[bù] not<br /><br /><br /><br />[bú] (used before tone #4); 不是 bú shì isn't
了|[le] {verb particle marking a new situation or a completed action}>; 你來了! Nǐ láile! You have come! 我累了! Wǒ lèile! I've gotten tired! 那好了! Nà hǎole! That's OK (now)! 我只請了一位客人. Wǒ zhǐ qǐngle yí wèi kèren. I invited only one guest.<br /><br /><br /><br />[liǎo] end, finish, settle, dispose of, know clearly, to be able, (=了解 liǎojiě) understand, comprehend; 了了 liǎoliaǒ clearly understand, settle (a debt/etc.), to be intelligent; 了了 liǎole {colloquial}> to be over/ended/finnish/settled; 你賣不了! Nǐ mài bùliǎo! You will not be able to sell (it)!<br /><br /><br /><br />[liào] (=瞭 liaò) to survey/watch<br /><br /><br /><br />{Compare with 子 zǐ child}{/colloquial}>
人|[rén] person; 人類 rénlèi humankind; 有人嗎? yǒu rén ma? Is there anybody here?<br /><br /><br /><br />{Compare with 入 rù enter}
我|[wǒ] I, me, my; 我們 wǒmen we, us<br /><br /><br /><br />{Compare with 找 zhǎo seek}
在|[zài] at; 現在 xiànzài now; 存在 cúnzài exist
有|[yǒu] have, there is; 沒有 méiyǒu haven't, there isn't; 有沒有? Yǒuméiyǒu? Is there or isn't there? Have (you) or haven't (you)?; 有的 yǒude some<br /><br /><br /><br />[yòu] (=又 yòu) again, both... and...
他|[tā] he, him, his, (she, her, it, its), (=其他 qítā) other<br /><br />[tuō] (in classical texts) someone else, something else
這|[zhè] this; 這兒 zhèr here<br /><br />[zhèi] this (before classifier)
中|[zhōng] middle, in; 中國 Zhōngguó China<br /><br />[zhòng] hit (a target)
大|[dà] big; 多大? duōdà? how large?; 大小 dàxiǎo size; 大家 dàjiā everybody<br /><br />[dài] 大夫 dàifu doctor<br /><br />{Compare with 太 tài very and 木 mù tree}
來|[lái] come; 原來 yuánlái originally, as a matter of fact; 來年 láinián coming/next year(s)<br /><br />[lai] (when used as a verb complement); 起來 qǐlai get up
上|[shàng] above, on, over, top, (go) up, last, previous<br /><br />[shǎng] 上聲 shǎngshēng 3rd tone in Mandarin<br /><br />[shang] (when used as a verb complement)<br /><br />{Compare with 下 xià under}
國|[guó] (=國家 guójiā) country, state, nation, {family name}>; 中國 Zhōngguó China; 美國 Měiguó USA
個,箇|[gè] {general and non-specific classifier}>; 個人 gèrén personal; 個人主頁 gèrénzhùyè personal homepage<br /><br />[gě] 自個 zìgě oneself
到|[dào] to, towards, until, arrive, reach
說|[shuō] explain, scold, refer to, (=說話 shuōhuà) speak, say; 遊說 yóushuō persuade<br /><br />[shuì] try to persuade; 遊說 yóushuì lobbying
們|[men] {pluralizing suffix for pronouns and nouns referring to persons}>; 我們 wǒmen we; 人們 rénmen people, persons
為|[wèi] for, for the sake of, in order to, in this connection<br /><br />[wéi] do, act, act as, be, become; 認為 rènwéi think or believe that...; 以為 yǐwéi think or believe erroneously that...<br /><br />{Compare with 辦 bàn do}
子|[zǐ] child, son; 子女 zǐnǚ sons and daughters; 兒子 érzi son<br /><br />[zi] (noun suffix); 桌子 zhuōzi table<br /><br />{Compare with 了 le {particle}>}
和|[hé] together, with, 龢 harmony, gentle, mild, kind, {family name}>; 和平 hépíng peace<br /><br />[Hé] Japan<br /><br />[huo] 暖和 nuǎnhuo nice and warm<br /><br />[hè] join in singing, compose a poem in reply<br /><br />[huó] mix with water<br /><br />[huò] mix, blend<br /><br />[hú] complete a set in Mahjong
你|[nǐ] (Alternative feminine form: 妳 nǐ) you, your; 你們 nǐmen you (plural)
地|[dì] earth, ground, soil, place, position, distance; 地支 dìzhī the Twelve Terrestrial Branches<br /><br />[de] {adverbial particle: descripion + 地 + verb}>, ~ly; 快地走 kuàide zǒu walk quickly
出|[chū] go out, come out, in direction out from something, emit, issue, prouce; 出現 chūxiàn appear, emerge, 齣 {classifier for operas and plays}>
道|[dào] way, path, channel, way, say, a streak (of light), doctrine, {classifier for rivers, topics, etc.}>, (=道教 Dàojiào) Taoism; 知道 zhīdao know<br /><br />[dǎo] (=導 dǎo) lead; 領道 = 領導 lǐngdǎo leader
也|[yě] also, as well; 也許 yěxǔ perhaps
時|[shí] period, season, (=時間 shíjiān, =時候 shíhou) time, (=小時 xiǎoshí) hour
年|[nián] year, {family name}>; 今年 jīnnián this year; 明年 míngnián next year; 去年 qùnián last year; 中年 zhōngnián middle age
得|[de] {adverbial particle: verb + 得 + descripion}>; 走得快 zǒude kuài walk quickly<br /><br />[dé] get, reach, achieve<br /><br />[děi] should
就|[jiù] just, simply, right away; 就要 jiùyào about to (do something); 這就是我! Zhè jiùshì wǒ! This is simply me!; 他就要去. Tā jiùyào qù. He is about to leave.
那|[nà] that<br /><br />[nèi] that (before classifier)<br /><br />[nuó] 禪那 chánnuó deep meditation<br /><br />[nuò] 無那 wúnuò helpless, unfortunately<br /><br />[nǎ] (=哪 nǎ) what?<br /><br />[něi] (=哪 něi before classifier) which?
要|[yào] want, will, shall, need, important, essential; 主要 zhǔyào main, fundamental<br /><br />[yāo] 要求 yāoqiú demand
下|[xià] below, under, (go) down, next (as opposed to previous/last)<br /><br />{Compare with 上 shàng above}
以|[yǐ] use, take, according to, because of, in order to; 可以 kěyǐ OK, may; 所以 suǒyǐ so, therefore, as a result; 以外 yǐwài beyond, except
生|[shēng] give birth, life; 先生 xiānsheng mister, gentleman, Sir
會|[huì] can, able, meet, meeting, society, union, party<br /><br />[kuài] 會計 kuàijì accounting<br /><br />[huǐ] 會兒 huìr moment
自|[zì] from, since, (=自己 zìjǐ) self; 自然 zìrán nature<br /><br />{Compare with 目 mù eye and 白 bái white}
著|[zhe] {verb particle marking a continuing progress/state}><br /><br />[zháo] touch<br /><br />[zhuó] wear clothes, dress, touch<br /><br />[zhāo] put in, add, 招 make move in chess, trick, decieve
去|[qù] go, leave, depart (opposite of 來 lái)
之|[zhī] {subordinator similar to 的 de}>, it (in classical texts)
過|[guò] pass, cross, go by, exceed, {verb particle marking that someone has had the experience of doing something, that it has happened at least once}>; 過馬路 guò mǎlù cross the street; 我去過中國兩次. wǒ qùguo Zhōngguó liǎng cì. I have gone to China twice.
家|[jiā] home, house, family; 國家 guójiā nation; 大家 dàjiā everybody<br /><br />[jie] 整天家 zhěngtiānjie all day long; 家裏 jiālǐ (at) home, (in the) family
學|[xué] study, learn; 學校 xuéxiào school; 學生 xuésheng student<br /><br />{Compare with 字 zì written character}
對|[duì] correct, answer, treat, agree, mutual, pair; 對不起 duìbuqǐ excuse me
可|[kě] ~able, (=可以 kěyǐ) may, can, (=可是 kěshì) but, however; 可愛 kě'ài loveable, cute; 可能 kě'néng possible, probable, maybe; 可口可樂 kěkǒukělè Coca Cola<br /><br />[kè] 可汗 kèhán khan
她|[tā] she, her
里|[lǐ] neighbourhood, half kilometer, {family name}>, 裏,裡 in, inside, lining; 哪裏? nǎli? where?; 那裏 nàli there; 這裏 zhèli here
后|[hòu] queen, 後 after, behind, {family name}>; 後天 hòutiān the day after tomorrow
小|[xiǎo] small; 大小 dàxiǎo size
么|[me/mo] 麼,末 (interrogative suffix) 什麽? shénme? what?; 為什麽? wèishénme? why? 沒什麽! méi shénme! It doesn't matter!, Never mind!; 怎麽? zěnme? how?<br /><br />[yāo] (S幺) youngest, one (e.g. in bus/house/phone numbers)
心|[xīn] heart; 小心 xiǎoxīn be careful; 心理 xīnlǐ psychology, mentality; 中心 zhōngxīn center
多|[duō] many, much, more; 多大 duōdà how large?; 多少 duōshǎo how many/much?
天|[tiān] sky, heaven, god, day, (=天空 tiānkōng) sky; 天氣 tiānqì weather<br /><br />{天幹 tiāngān the Ten Heavenly Stems: 甲乙丙丁戊己庚辛壬癸 jiǎ-yǐ-bǐng-dīng-wù-jǐ-gēng-xīn-rén-guǐ (these characters are sometimes used as ordinal numbers}<br /><br />{Compare with 夫 fū man and 無 wú without}
而|[ér] (=而且 érqiě) and, furthermore, (=然而 rán'ér) yet, even so
能|[néng] can, be able; 能夠 nénggòu be capable of; 可能 kě'néng maybe
好|[hǎo] good, good to..., easy to...; 你好! Nǐhǎo! Hello!<br /><br />[hào] to like<br /><br />[hāo] 好好兒 hǎohāor in perfectly good condition
都|[dōu] all<br /><br />[dū] (=首都 shǒudū) capital city
然|[rán] right, correct, so, like that; 雖然 suīrán although; 忽然 hūrán suddenly; 當然 dāngrán of course; 自然 zìrán nature
沒|[méi] (=沒有 méiyǒu) haven't, there isn't; 有沒有? Yǒuméiyǒu? Is there or isn't there? Have (you) or haven't (you)?<br /><br />[mò] sink, overflow, disappear, confiscate
日|[rì] sun, (=日子 rìzi) day; 日記 rìjì diary; 日光 rìguāng sunlight<br /><br />{Compare with 曰 yuē say, 目 mù eye and 甘 gān sweet}
于|[yú] {family name}>, 於 in, at, for, to, from, by, than<br /><br />{Compare with 千 qiān thousand and 幹 gān stem}
起|[qǐ] rise, start; 起來 qǐlai get up; 對不起 duìbuqǐ excuse me<br /><br />[qi] (when used as a verb complement)
還|[hái] still, yet<br /><br />[huán] return, give back
发|[fā] 發 deliver, utter, express, shoot, emit, develop, expand<br /><br />[fà] 發 hair<br /><br />[fa] 發 頭發 tóufa hair
成|[chéng] (=成為 chéngwéi, =變成 biànchéng) become, {family name}>; 成功 chénggōng succeed; 完成 wánchéng accomplish, complete, fulfill; 成語 chéngyǔ idiom
事|[shì] matter, affair, thing, event, accident, job, responsibility; 事情 shìqing situation
祇|[zhǐ] only, just, merely, {classifier implying "one of a pair", animals, vessels, utensils, etc.}>; 一只貓 yì zhǐ māo a cat<br /><br />[zhī] 隻 single, one, only<br /><br />{Compare with 兄 xiōng brother}
作|[zuò] do, make; 工作 gōngzuò work; 作業 zuòyè homework<br /><br />[zuó] 作踐 zuójian spoil, waste, humiliate, insult<br /><br />[zuō] do
当|[dāng] 當 serve as, 當 ding-dong<br /><br />[dàng] 當 proper, right, equal, (=當作 dàngzuò) treat as, regard as
想|[xiǎng] think, feel, consider, want, remember
看|[kàn] see, look at, read, think, consider<br /><br />[kān] look after, tend; 看守 kānshǒu guard
文|[wén] language, literature, {family name}>; 文化 wénhuà culture; 中文 Zhōngwén Chinese (written) language
無|[wú] without, nothingness, have not<br /><br />[mó] 南無 nánmó {Sanskrit}> to give oneself totally to<br /><br />{Compare with 天 tiān heaven}
開|[kāi] open; 開始 kāishǐ begin 打開 dǎkāi open, unfold<br /><br />[kai] (when used as a verb complement)<br /><br />{Compare with 並 bìng combine}
手|[shǒu] hand, a person skilled in something; 揮手 huīshǒu wave; 拍手 pāishǒu clap; 握手 wòshǒu shake/clasp hands<br /><br />{Compare with 毛 máo hair}
十(A拾)|[shí] ten; 十三 shísān thirteen; 五十 wǔshí fifty; 十月 shíyuè October
